	x	Na	Nd	V	n	p	Ey	Ex
20	0.05	3e+23	0.0	-0.5802226482074478	5.3587763984270897e-14	797423.5394157184	35320147.09952521	3.612424024767868e-08
21	0.0525	3e+23	0.0	-0.6613752586191777	1.8722044661168034e-14	27545290647.04952	33795262.80632725	3.5436163951706615e-08
22	0.055	3e+23	0.0	-0.7425278118485679	1.191410009055782e-14	55089894048.122505	32270378.513117336	3.474808215108603e-08
23	0.0575	3e+23	0.0	-0.823680365077958	5.106155519947605e-15	82634497449.1955	30745494.21990742	3.4060000350465436e-08
24	0.06	3e+23	0.0	-0.9012589546666671	1.839533308466664e-19	112237853420002.33	29220610.26666666	3.251181779999998e-08
25	0.0625	3e+23	0.0	-0.9681156533333336	1.3139869423333313e-19	560776095300001.7	27695727.33333333	2.8383332999999987e-08
26	0.065	3e+23	0.0	-1.034972352	7.884405761999989e-20	1009314337180001.0	26170844.399999995	2.4254848199999996e-08
27	0.0675	3e+23	0.0	-1.1018290506666668	2.6289421006666625e-20	1457852579060000.5	24645961.466666665	2.0126363399999998e-08
28	0.07	3e+23	0.0	-1.1615378813658468	1.048979313229934e-23	4.6064406169940314e+17	23121082.12006626	1.6685957945426075e-08
29	0.0725	3e+23	0.0	-1.2140988440975402	7.263979396898037e-24	1.3785679416982044e+18	21596206.360198792	1.3933631836278238e-08
30	0.075	3e+23	0.0	-1.2666598068292338	4.038165661496717e-24	2.2964918216970104e+18	20071330.600331314	1.1181305727130385e-08
31	0.0775	3e+23	0.0	-1.3192207695609275	8.123519260953971e-25	3.2144157016958167e+18	18546454.840463832	8.428979617982532e-09
32	0.08	3e+23	0.0	-1.3610598824487654	4.733704538612031e-27	1.8004610589875624e+20	17023271.12761693	8.1279562113922e-09
33	0.0825	3e+23	0.0	-1.3993251216325104	3.1634582980746843e-27	4.155144672658379e+20	15500651.418411285	8.644016274261468e-09
34	0.085	3e+23	0.0	-1.4375903608162552	1.5932120575373385e-27	6.509828286329196e+20	13978031.709205639	9.160076337130735e-09
35	0.08750000000000001	3e+23	0.0	-1.4758556000000003	2.2965816999999965e-29	8.864511900000415e+20	12455411.999999993	9.676136399999997e-09
36	0.09	3e+23	0.0	-1.4998673610541216	1.7029699870524926e-29	8.344998383549677e+21	11006120.42591101	9.418106355232047e-09
37	0.0925	3e+23	0.0	-1.5238791221082433	1.1093582741049851e-29	1.5803545577099352e+22	9556828.851822019	9.160076310464095e-09
38	0.095	3e+23	0.0	-1.5478908831623648	5.1574656115747765e-30	2.3262092770649026e+22	8107537.277733028	8.902046265696142e-09
39	0.0975	3e+23	0.0	-1.5686725185934065	6.677414290236778e-31	3.653653476933866e+22	6749214.772195375	8.00970106923664e-09
40	0.1	3e+23	0.0	-1.579763570423862	5.172886578740551e-31	6.725903340667057e+22	5663805.294425264	5.2143698208833045e-09
41	0.10250000000000001	3e+23	0.0	-1.5908546222543172	3.6683588672443235e-31	9.798153204400247e+22	4578395.816655153	2.4190385725299704e-09
42	0.105	3e+23	0.0	-1.6019456740847726	2.1638311557481044e-31	1.2870403068133421e+23	3492986.3388850493	-3.762926758233472e-10
43	0.1075	3e+23	0.0	-1.6093213733333334	1.3340329119999991e-31	1.5749699333333345e+23	2681989.141333331	-1.6234406279999985e-09
44	0.11	3e+23	0.0	-1.61298172	1.1789641359999994e-31	1.843604200000001e+23	2145404.2239999985	-1.322405283999999e-09
45	0.1125	3e+23	0.0	-1.6166420666666668	1.0238953599999995e-31	2.1122384666666674e+23	1608819.3066666657	-1.0213699399999995e-09
46	0.115	3e+23	0.0	-1.6203024133333332	8.688265839999998e-32	2.3808727333333336e+23	1072234.3893333331	-7.203345959999998e-10
47	0.11750000000000001	3e+23	0.0	-1.621990060824065	8.070180914226148e-32	2.526765563983215e+23	802703.8515900709	-5.543618852385334e-10
48	0.12	3e+23	0.0	-1.623020141922818	7.762963599861014e-32	2.631744582627501e+23	622191.4403768331	-4.3341005222324546e-10
49	0.1225	3e+23	0.0	-1.6240502230215712	7.455746285495879e-32	2.7367236012717878e+23	441679.0291635943	-3.1245821920795684e-10
50	0.125	3e+23	0.0	-1.6250803011030388	7.148529901017385e-32	2.8417023234234416e+23	261167.13578175716	-1.9150672217029214e-10
51	0.1275	3e+23	0.0	-1.625356060808895	7.073784247412749e-32	2.872558183843857e+23	210112.57503995518	-1.545492951915475e-10
52	0.13	3e+23	0.0	-1.6256318205147513	6.999038593808113e-32	2.903414044264273e+23	159058.0142981532	-1.1759186821280289e-10
53	0.1325	3e+23	0.0	-1.6259075802206076	6.924292940203477e-32	2.9342699046846884e+23	108003.45355635122	-8.063444123405826e-11
54	0.135	3e+23	0.0	-1.6261326066472461	6.863423238464493e-32	2.9595003644388646e+23	66291.2155160719	-5.022855820033359e-11
55	0.1375	3e+23	0.0	-1.6262054332362312	6.844181392322462e-32	2.9678546221943228e+23	52605.945580359796	-3.9477307001668176e-11
56	0.14	3e+23	0.0	-1.6262782598252161	6.824939546180431e-32	2.9762088799497814e+23	38920.67564464771	-2.8726055803002767e-11
57	0.14250000000000002	3e+23	0.0	-1.6263510864142012	6.8056977000384e-32	2.9845631377052396e+23	25235.405708935607	-1.797480460433736e-11
58	0.145	3e+23	0.0	-1.6263970732567468	6.793562546780054e-32	2.9898465044836266e+23	16585.387645409162	-1.1192243735228152e-11
59	0.1475	3e+23	0.0	-1.6264162199234133	6.788534200113386e-32	2.9920589311502932e+23	12970.70201874249	-8.378436695228147e-12
60	0.15	3e+23	0.0	-1.6264353665900801	6.783505853446719e-32	2.99427135781696e+23	9356.016392075819	-5.5646296552281435e-12
61	0.1525	3e+23	0.0	-1.6264545132567467	6.778477506780052e-32	2.996483784483627e+23	5741.330765409146	-2.7508226152281383e-12
62	0.155	3e+23	0.0	-1.626463079987904	6.776231003166086e-32	2.997473758602045e+23	4124.389282430144	-1.8347498583548004e-12
63	0.1575	3e+23	0.0	-1.626468119998656	6.774911800351787e-32	2.9980562398446718e+23	3173.3767202700137	-1.5512686909283104e-12
64	0.16	3e+23	0.0	-1.626473160009408	6.773592597537487e-32	2.9986387210872983e+23	2222.3641581098836	-1.2677875235018208e-12
65	0.1625	3e+23	0.0	-1.6264782000052267	6.772273398614079e-32	2.99922120061248e+23	1271.3544002035312	-9.843066920547313e-13
66	0.165	3e+23	0.0	-1.6264795066718933	6.771926918614079e-32	2.99937432061248e+23	1021.4052828701967	-7.848203747213969e-13
67	0.1675	3e+23	0.0	-1.62648081333856	6.771580438614079e-32	2.9995274406124802e+23	771.4561655368623	-5.853340573880627e-13
68	0.17	3e+23	0.0	-1.6264821200052266	6.771233958614079e-32	2.99968056061248e+23	521.5070482035278	-3.8584774005472846e-13
69	0.17250000000000001	3e+23	0.0	-1.6264831866679608	6.770951346326883e-32	2.999805453483463e+23	317.62722068034816	-2.247500409786084e-13
